,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
0,007018,99999,WXPOD 7018,,,,0.0,0.0,7018.0,20110309,20130730
1,007026,99999,WXPOD 7026,AF,,,0.0,0.0,7026.0,20120713,20170822
2,007070,99999,WXPOD 7070,AF,,,0.0,0.0,7070.0,20140923,20150926
3,008260,99999,WXPOD8270,,,,0.0,0.0,0.0,20050101,20120731
4,008268,99999,WXPOD8278,AF,,,32.95,65.567,1156.7,20100519,20120323
5,008307,99999,WXPOD 8318,AF,,,0.0,0.0,8318.0,20100421,20100421
6,008411,99999,XM20,,,,,,,20160217,20160217
7,008414,99999,XM18,,,,,,,20160216,20160217
8,008415,99999,XM21,,,,,,,20160217,20200314
9,008418,99999,XM24,,,,,,,20160217,20160217
10,010000,99999,BOGUS NORWAY,NO,,ENRS,,,,20010927,20041019
11,010010,99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,70.933,-8.667,9.0,19310101,20231209
12,010013,99999,ROST,NO,,,,,,19861120,19880105
13,010014,99999,SORSTOKKEN,NO,,ENSO,59.792,5.341,48.8,19861120,20231208
14,010015,99999,BRINGELAND,NO,,,61.383,5.867,327.0,19870117,19971231
15,010016,99999,RORVIK/RYUM,NO,,,64.85,11.233,14.0,19870116,19910806
16,010017,99999,FRIGG,NO,,ENFR,59.98,2.25,48.0,19880320,19971226
17,010020,99999,VERLEGENHUKEN,NO,,,80.05,16.25,8.0,19861109,20231209
18,010030,99999,HORNSUND,NO,,,77.0,15.5,12.0,19850601,20231209
19,010040,99999,NY-ALESUND II,NO,,ENAS,78.917,11.933,8.0,19730101,19970801
20,010050,99999,ISFJORD RADIO,SV,,,78.067,13.633,9.0,19310103,20041030
21,010060,99999,EDGEOYA,NO,,,78.25,22.817,14.0,19730101,20231209
22,010070,99999,NY-ALESUND,SV,,,78.917,11.933,7.7,19730106,20231209
23,010071,99999,LONGYEARBYEN,SV,,,78.217,15.583,37.0,20050210,20050210
24,010080,99999,LONGYEAR,SV,,ENSB,78.246,15.466,26.8,19750929,20231209
25,010090,99999,KARL XII OYA,SV,,,80.65,25.0,5.0,19550101,20231209
26,010100,99999,ANDOYA,NO,,ENAN,69.293,16.144,13.1,19310103,20231209
27,010110,99999,KVITOYA,SV,,,80.067,31.5,10.0,19861118,20231209
28,010120,99999,,,,,,,,19741130,19751116
29,010140,99999,SENJA-LAUKHELLA,NO,,,69.233,17.9,9.0,19730101,20140523
30,010150,99999,HEKKINGEN FYR,NO,,,69.6,17.833,14.0,19800314,20231209
31,010160,99999,KONGSOYA,NO,,,78.933,28.9,20.0,19930501,20231209
32,010170,99999,AKSELOYA,SV,,,77.683,14.783,6.0,19730101,20231209
33,010171,99999,GIBOSTAD,NO,,,69.35,18.083,12.0,20050216,20070307
34,010190,99999,SVARTTANGEN,NO,,,77.517,20.817,20.0,20100825,20140523
35,010200,99999,SORKAPPOYA,SV,,,76.483,16.55,10.0,20101008,20231209
